pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,,,,,,,,,289.85951,27.96890,-45.44946,0,0.91200,0.08800,-0.14300,0,Msini,0.023000,0.191000,-0.003000,0,,,,,,,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 III,4809.00,,,0,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,0.100,0.080,-0.050,0,[Fe/H],2.69,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,0.7236500,-0.7236500,5.3532000,0.0230000,-0.0230000,3.2070000,0.2720000,-0.2720000,5.0934300,0.0039324,-0.0039324,2023-09-19,2023-08,2023-09-19
AF Lep b,AF Lep,1,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=FRANSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205420F/abstract target=ref>Franson et al. 2023</a>,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,,,,,,,,,1017.05090,222.47988,-190.69704,0,3.20000,0.70000,-0.60000,0,Mass,0.240000,0.270000,-0.150000,0,,,,,,,,,0,<a refstr=FRANSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205420F/abstract target=ref>Franson et al. 2023</a>,F8 V,6130.00,60.00,-60.00,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,0.190,0.020,-0.020,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-06-12,2023-02,2023-06-12
AF Lep b,AF Lep,0,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=MESA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206213M/abstract target=ref>Mesa et al. 2023</a>,7520.00000000,1200.00000000,-1300.00000000,0,7.990000,0.850000,-0.920000,0,,,,,,,,,1664.46737,27.01541,-31.78284,0,5.23700,0.08500,-0.10000,0,Mass,0.470000,0.170000,-0.130000,0,,,,,1400,300,-300,0,0,<a refstr=MESA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206213M/abstract target=ref>Mesa et al. 2023</a>,F8 V,6100.00,,,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,,,,,,4.40,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-02-25,2023-02,2023-02-25
AF Lep b,AF Lep,0,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=DE_ROSA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206332D/abstract target=ref>De Rosa et al. 2023</a>,9060.00000000,3650.00000000,-2480.00000000,0,9.300000,2.300000,-1.800000,0,,,,,,,,,1366.66215,921.70238,-381.39409,0,4.30000,2.90000,-1.20000,0,Mass,0.320000,0.410000,-0.230000,0,,,,,,,,,0,<a refstr=DE_ROSA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206332D/abstract target=ref>De Rosa et al. 2023</a>,F8 V,6140.00,47.00,-47.00,0,,,,,1.13,0.10,-0.04,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-02-25,2023-02,2023-02-25
AU Mic d,AU Mic,1,1,3,Transit Timing Variations,2023,Multiple Observatories,Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,12.73596000,0.00793000,-0.00793000,0,,,,,,,,,,,,,1.05300,0.51100,-0.51100,0,0.00331,0.00161,-0.00161,0,Mass,0.003050,0.001040,-0.001040,0,,,,,,,,,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.00,90.00,-88.00,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,0.230,0.240,-0.300,0,[Fe/H],4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310,2023-11-28,2023-12,2023-11-28
BD-210397 b,BD-210397,1,1,2,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,1891.00000000,56.00000000,-48.00000000,0,2.630000,0.060000,-0.050000,0,,,,,,,,,214.00000,31.00000,-32.00000,0,0.70000,0.10000,-0.10000,0,Msini,0.100000,0.100000,-0.100000,0,0.02,0.00,0.00,0,,,,,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,K7 V,4051.00,239.00,-239.00,0,0.75,0.09,-0.09,0,0.68,0.02,-0.02,0,0.120,0.100,-0.100,0,[Fe/H],4.67,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260,2023-06-27,2023-06,2023-06-27
BD-210397 c,BD-210397,1,1,2,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,6240.00000000,151.00000000,-156.00000000,0,5.900000,0.100000,-0.100000,0,,,,,,,,,1525.57635,190.69704,-190.69704,0,4.80000,0.60000,-0.60000,0,Mass,0.430000,0.050000,-0.050000,0,,,,,,,,,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,K7 V,,,,,,,,,0.69,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260,2023-09-05,2023-08,2023-09-05
BD-210397 c,BD-210397,0,1,2,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,6360.00000000,6260.00000000,-711.00000000,0,5.900000,3.400000,-0.500000,0,,,,,,,,,759.00000,485.00000,-76.00000,0,2.40000,1.50000,-0.20000,0,Msini,0.100000,0.200000,-0.100000,0,0.00,0.00,0.00,0,,,,,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,K7 V,4051.00,239.00,-239.00,0,0.75,0.09,-0.09,0,0.68,0.02,-0.02,0,0.120,0.100,-0.100,0,[Fe/H],4.67,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260,2023-06-27,2023-06,2023-06-27
DMPP-4 b,DMPP-4,1,1,1,Radial Velocity,2023,Multiple Observatories,Published Confirmed,0,<a refstr=BARNES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2033B/abstract target=ref>Barnes et al. 2023</a>,3.49820000,0.00220000,-0.23270000,0,0.048530,0.000360,-0.001970,0,,,,,,,,,12.20000,1.80000,-1.90000,0,0.03839,0.00566,-0.00598,0,Msini,0.063000,,,1,,,,,,,,,0,<a refstr=BARNES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2033B/abstract target=ref>Barnes et al. 2023</a>,F5-F8 V,6400.00,50.00,-50.00,0,1.38,0.01,-0.01,0,1.25,0.02,-0.02,0,-0.007,0.056,-0.056,0,[Fe/H],4.24,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m19.84s,293.5826648,+51d14m08.90s,51.2358069,25.3284000,0.0382000,-0.0380000,5.7293600,0.0230000,-0.0230000,4.4940000,0.0180000,-0.0180000,5.6003700,0.0014052,-0.0014052,2023-08-07,2023-10,2023-08-07
EPIC 229004835 b,EPIC 229004835,0,1,1,Transit,2023,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,16.13655000,0.00168000,-0.00182000,0,,,,,2.020,0.120,-0.080,0,0.180,0.011,-0.007,0,,,,,,,,,,,,,,,,,,739,7,-7,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5886.00,150.51,-93.23,0,1.00,0.04,-0.05,0,1.07,0.18,-0.10,0,,,,,,4.47,0.06,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,121.9710000,0.8790000,-0.8660000,10.2300000,0.0060000,-0.0060000,8.7250000,0.0230000,-0.0230000,10.0494000,0.0004210,-0.0004210,2018-08-02,2018-08,2018-08-02
